objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237646798137852371,121.820751766195,0.931990370368578,19.37035,17.34262,16.35286,15.924,15.58903,308,301,5,104,5342663162779901952,GALAXY,0.1019929,4745,55892,975
1237646798137918215,122.087899886235,0.843146890967,19.05249,17.03777,16.07633,15.63148,15.31245,308,301,5,105,5342400104622956544,GALAXY,0.1015328,4745,55892,18
1237646798138245746,122.863994523509,0.896150822431993,18.20631,16.89692,16.46658,16.31574,16.28902,308,301,5,110,2316073479176218624,STAR,0.0004881296,2057,53816,354
1237646798138310950,122.981945158838,0.963856929671034,17.63113,16.55926,16.24861,16.14775,16.13221,308,301,5,111,2338584330990807040,STAR,0.0001320406,2077,53846,328
1237646798138310972,122.988637998949,0.973742938007754,15.99172,14.98865,14.70003,14.64919,14.50626,308,301,5,111,2316072929420404736,STAR,9.265625E-05,2057,53816,352
1237646798138311265,122.93563541494,0.899085528808444,19.37706,18.44093,18.24528,18.19469,18.17668,308,301,5,111,2338582406845458432,STAR,0.0004529892,2077,53846,321
1237646798138376220,123.039385678518,0.930070447252211,16.73877,15.68268,15.43654,15.38572,15.40208,308,301,5,112,2316069905763428352,STAR,0.0001283693,2057,53816,341
1237646798138376303,123.020264542589,0.911874556335115,16.37119,15.28426,15.05225,14.98734,15.0114,308,301,5,112,2316074303809939456,STAR,5.721474E-05,2057,53816,357
1237646798138376717,123.016535374447,0.848145358949872,19.52481,18.21796,17.68045,17.46177,17.37293,308,301,5,112,2316073754054125568,STAR,1.715707E-05,2057,53816,355
1237646798138441918,123.202500529627,0.905129930680632,18.6522,17.52927,17.53732,17.58253,17.67018,308,301,5,113,2316083924536682496,STAR,-0.0002422539,2057,53816,392
1237646798138442159,123.267895241755,0.960993455243754,16.63293,15.27509,14.61367,14.50841,14.27292,308,301,5,113,2316085573804124160,STAR,-5.544391E-05,2057,53816,398
1237646798138507365,123.348807162909,0.922523638526005,16.14538,15.07947,14.84144,14.77282,14.78681,308,301,5,114,2316080900879706112,STAR,0.0002392115,2057,53816,381
1237646798138507574,123.426130442905,0.881883846120914,17.84565,16.82412,16.49827,16.38742,16.35545,308,301,5,114,2316083649658775552,STAR,0.0001469977,2057,53816,391
1237646798138573236,123.587960338488,0.919738665647856,17.75484,16.59773,16.53687,16.56253,16.61154,308,301,5,115,2316082825025054720,STAR,-7.064893E-06,2057,53816,388
1237646798138573554,123.545267650004,0.931392113528626,19.3623,18.1918,17.81977,17.69313,17.61249,308,301,5,115,1293805278390675456,STAR,0.0002354691,1149,53003,532
1237646798138573693,123.612777090055,0.948787094735607,18.97095,17.07911,16.13754,15.65789,15.34548,308,301,5,115,5391052944345899008,GALAXY,0.06836422,4788,55889,888
1237646798138638462,123.673560514662,0.861348536541287,16.48326,15.04494,15.04021,14.29518,14.18345,308,301,5,116,2316096568920401920,STAR,0.0002243217,2057,53816,438
